frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_63.apx,	50,2,True,19,768,82,2,True,19,768,82
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_51.apx,	50,8,True,20,747,31,8,True,20,747,31
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_41.apx,	50,3,True,22,807,41,3,True,22,807,41
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_8.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_47.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_139.apx,	50,4,True,30,941,1,4,True,30,941,1
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_70.apx,	50,2,True,28,926,23,1,True,32,972,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_146.apx,	50,2,True,26,874,15,2,True,26,874,15
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_148.apx,	50,2,True,30,987,42,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_28.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_83.apx,	50,1,True,45,1115,0,1,True,45,1115,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_32.apx,	50,2,True,27,937,53,2,True,27,937,53
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_134.apx,	50,1,True,45,1115,0,1,True,45,1115,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_87.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2b/WS_4_0.5_0.5/WS_4_0.5_0.5_100.apx,	50,1,True,38,1059,0,1,True,38,1059,0
