frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp_er2/ER_dg2/ER_dg2_33.apx,	51,1,True,24,872,0,1,True,24,872,0
exp_er2/ER_dg2/ER_dg2_22.apx,	51,1,True,27,943,0,1,True,27,943,0
exp_er2/ER_dg2/ER_dg2_15.apx,	51,1,True,23,839,0,1,True,23,839,0
exp_er2/ER_dg2/ER_dg2_16.apx,	51,1,True,24,866,0,1,True,24,866,0
exp_er2/ER_dg2/ER_dg2_12.apx,	51,1,True,18,700,0,1,True,18,700,0
exp_er2/ER_dg2/ER_dg2_17.apx,	51,1,True,25,894,0,1,True,25,894,0
exp_er2/ER_dg2/ER_dg2_18.apx,	51,1,True,25,888,0,1,True,25,888,0
exp_er2/ER_dg2/ER_dg2_23.apx,	51,1,True,18,712,0,1,True,18,712,0
exp_er2/ER_dg2/ER_dg2_30.apx,	51,1,True,24,873,0,1,True,24,873,0
exp_er2/ER_dg2/ER_dg2_2.apx,	51,1,True,19,739,0,1,True,19,739,0
exp_er2/ER_dg2/ER_dg2_9.apx,	51,1,True,19,729,0,1,True,19,729,0
exp_er2/ER_dg2/ER_dg2_24.apx,	51,1,True,23,839,0,1,True,23,839,0
exp_er2/ER_dg2/ER_dg2_40.apx,	51,1,True,25,900,0,1,True,25,900,0
exp_er2/ER_dg2/ER_dg2_3.apx,	51,1,True,26,920,0,1,True,26,920,0
exp_er2/ER_dg2/ER_dg2_19.apx,	51,1,True,19,740,0,1,True,19,740,0
exp_er2/ER_dg2/ER_dg2_38.apx,	51,1,True,25,889,0,1,True,25,889,0
exp_er2/ER_dg5/ER_dg5_11.apx,	51,1,True,31,959,0,1,True,31,959,0
exp_er2/ER_dg5/ER_dg5_13.apx,	51,1,True,28,908,0,1,True,28,908,0
exp_er2/ER_dg5/ER_dg5_15.apx,	51,1,True,32,981,0,1,True,32,981,0
exp_er2/ER_dg5/ER_dg5_4.apx,	51,1,True,33,986,0,1,True,33,986,0
exp_er2/ER_dg5/ER_dg5_18.apx,	51,1,True,29,931,0,1,True,29,931,0
exp_er2/ER_dg5/ER_dg5_35.apx,	51,1,True,36,1034,0,1,True,36,1034,0
exp_er2/ER_dg5/ER_dg5_30.apx,	51,1,True,30,955,0,1,True,30,955,0
exp_er2/ER_dg5/ER_dg5_14.apx,	51,1,True,44,1126,0,1,True,44,1126,0
exp_er2/ER_dg5/ER_dg5_36.apx,	51,1,True,38,1069,0,1,True,38,1069,0
exp_er2/ER_dg5/ER_dg5_20.apx,	51,1,True,33,999,0,1,True,33,999,0
exp_er2/ER_dg5/ER_dg5_17.apx,	51,1,True,29,929,0,1,True,29,929,0
exp_er2/ER_dg5/ER_dg5_40.apx,	51,2,True,30,951,6,1,True,34,1013,0
exp_er2/ER_dg5/ER_dg5_19.apx,	51,1,True,35,1026,0,1,True,35,1026,0
exp_er2/ER_dg5/ER_dg5_3.apx,	51,1,True,34,1005,0,1,True,34,1005,0
exp_er2/ER_dg5/ER_dg5_38.apx,	51,1,True,44,1111,0,1,True,44,1111,0
exp_er2/ER_dg5/ER_dg5_10.apx,	51,1,True,33,992,0,1,True,33,992,0
exp_er2/ER_dg5/ER_dg5_16.apx,	51,1,True,39,1098,0,1,True,39,1098,0
exp_er2/ER_dg5/ER_dg5_34.apx,	51,1,True,36,1046,0,1,True,36,1046,0
exp_er2/ER_dg5/ER_dg5_23.apx,	51,1,True,31,960,0,1,True,31,960,0
exp_er2/ER_dg5/ER_dg5_22.apx,	51,1,True,35,1007,0,1,True,35,1007,0
exp_er2/ER_dg5/ER_dg5_37.apx,	51,1,True,32,1000,0,1,True,32,1000,0
exp_er2/ER_dg5/ER_dg5_27.apx,	51,1,True,37,1072,0,1,True,37,1072,0
exp_er2/ER_dg5/ER_dg5_32.apx,	51,1,True,38,1074,0,1,True,38,1074,0
exp_er2/ER_dg5/ER_dg5_5.apx,	51,1,True,44,1141,0,1,True,44,1141,0
exp_er2/ER_dg5/ER_dg5_33.apx,	51,1,True,27,893,0,1,True,27,893,0
exp_er2/ER_dg5/ER_dg5_24.apx,	51,1,True,31,957,0,1,True,31,957,0
exp_er2/ER_dg5/ER_dg5_29.apx,	51,1,True,32,976,0,1,True,32,976,0
exp_er2/ER_dg5/ER_dg5_26.apx,	51,1,True,30,939,0,1,True,30,939,0
exp_er2/ER_dg5/ER_dg5_25.apx,	51,2,True,28,913,3,2,True,28,913,3
exp_er2/ER_dg5/ER_dg5_21.apx,	51,1,True,30,954,0,1,True,30,954,0
exp_er2/ER_dg5/ER_dg5_1.apx,	51,2,True,21,787,56,2,True,21,787,56
exp_er2/ER_dg5/ER_dg5_2.apx,	51,1,True,32,984,0,1,True,32,984,0
exp_er2/ER_dg5/ER_dg5_8.apx,	51,1,True,34,1026,0,1,True,34,1026,0
exp_er2/ER_dg5/ER_dg5_7.apx,	51,1,True,41,1109,0,1,True,41,1109,0
exp_er2/ER_dg5/ER_dg5_12.apx,	51,1,True,27,901,0,1,True,27,901,0
exp_er2/ER_dg5/ER_dg5_6.apx,	51,1,True,29,925,0,1,True,29,925,0
exp_er2/ER_dg5/ER_dg5_28.apx,	51,1,True,33,986,0,1,True,33,986,0
exp_er2/ER_dg5/ER_dg5_9.apx,	51,1,True,33,1003,0,1,True,33,1003,0
exp_er2/ER_dg5/ER_dg5_39.apx,	51,1,True,37,1049,0,1,True,37,1049,0
exp_er2/ER_dg5/ER_dg5_31.apx,	51,1,True,31,953,0,1,True,31,953,0
exp_er2/ER_dg4/ER_dg4_33.apx,	51,1,True,30,943,0,1,True,30,943,0
exp_er2/ER_dg4/ER_dg4_36.apx,	51,1,True,28,934,0,1,True,28,934,0
exp_er2/ER_dg4/ER_dg4_11.apx,	51,1,True,26,881,0,1,True,26,881,0
exp_er2/ER_dg4/ER_dg4_28.apx,	51,1,True,29,947,0,1,True,29,947,0
exp_er2/ER_dg4/ER_dg4_27.apx,	51,1,True,30,968,0,1,True,30,968,0
exp_er2/ER_dg4/ER_dg4_35.apx,	51,1,True,34,1035,0,1,True,34,1035,0
exp_er2/ER_dg4/ER_dg4_1.apx,	51,1,True,27,907,0,1,True,27,907,0
exp_er2/ER_dg4/ER_dg4_7.apx,	51,1,True,30,957,0,1,True,30,957,0
exp_er2/ER_dg4/ER_dg4_5.apx,	51,1,True,29,937,0,1,True,29,937,0
exp_er2/ER_dg4/ER_dg4_2.apx,	51,1,True,39,1104,0,1,True,39,1104,0
exp_er2/ER_dg4/ER_dg4_39.apx,	51,1,True,35,1055,0,1,True,35,1055,0
exp_er2/ER_dg4/ER_dg4_15.apx,	51,1,True,32,1007,0,1,True,32,1007,0
exp_er2/ER_dg4/ER_dg4_19.apx,	51,1,True,30,972,0,1,True,30,972,0
exp_er2/ER_dg4/ER_dg4_17.apx,	51,2,True,29,998,46,2,True,29,998,46
exp_er2/ER_dg4/ER_dg4_32.apx,	51,1,True,31,989,0,1,True,31,989,0
exp_er2/ER_dg4/ER_dg4_31.apx,	51,1,True,29,946,0,1,True,29,946,0
exp_er2/ER_dg4/ER_dg4_6.apx,	51,1,True,47,1168,0,1,True,47,1168,0
exp_er2/ER_dg4/ER_dg4_18.apx,	51,1,True,30,945,0,1,True,30,945,0
exp_er2/ER_dg4/ER_dg4_3.apx,	51,1,True,29,947,0,1,True,29,947,0
exp_er2/ER_dg4/ER_dg4_9.apx,	51,1,True,25,857,0,1,True,25,857,0
exp_er2/ER_dg4/ER_dg4_38.apx,	51,1,True,42,1135,0,1,True,42,1135,0
exp_er2/ER_dg4/ER_dg4_34.apx,	51,1,True,29,941,0,1,True,29,941,0
exp_er2/ER_dg4/ER_dg4_20.apx,	51,1,True,39,1082,0,1,True,39,1082,0
exp_er2/ER_dg4/ER_dg4_26.apx,	51,1,True,32,1008,0,1,True,32,1008,0
exp_er2/ER_dg4/ER_dg4_25.apx,	51,1,True,32,999,0,1,True,32,999,0
exp_er2/ER_dg4/ER_dg4_13.apx,	51,1,True,28,935,0,1,True,28,935,0
exp_er2/ER_dg4/ER_dg4_40.apx,	51,1,True,29,941,0,1,True,29,941,0
exp_er2/ER_dg4/ER_dg4_30.apx,	51,1,True,37,1089,0,1,True,37,1089,0
exp_er2/ER_dg4/ER_dg4_10.apx,	51,1,True,44,1131,0,1,True,44,1131,0
exp_er2/ER_dg4/ER_dg4_12.apx,	51,1,True,25,866,0,1,True,25,866,0
exp_er2/ER_dg4/ER_dg4_14.apx,	51,1,True,31,975,0,1,True,31,975,0
exp_er2/ER_dg4/ER_dg4_37.apx,	51,1,True,30,955,0,1,True,30,955,0
exp_er2/ER_dg4/ER_dg4_16.apx,	51,1,True,25,867,0,1,True,25,867,0
exp_er2/ER_dg4/ER_dg4_23.apx,	51,1,True,44,1153,0,1,True,44,1153,0
exp_er2/ER_dg4/ER_dg4_21.apx,	51,1,True,34,1032,0,1,True,34,1032,0
exp_er2/ER_dg4/ER_dg4_4.apx,	51,1,True,29,945,0,1,True,29,945,0
exp_er2/ER_dg4/ER_dg4_22.apx,	51,1,True,31,974,0,1,True,31,974,0
exp_er2/ER_dg4/ER_dg4_24.apx,	51,1,True,30,963,0,1,True,30,963,0
exp_er2/ER_dg4/ER_dg4_29.apx,	51,1,True,29,934,0,1,True,29,934,0
exp_er2/ER_dg4/ER_dg4_8.apx,	51,2,True,21,813,46,2,True,21,813,46
