frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp_wa2/WS_4_0.66/WS_4_0.66_32.apx,	50,2554,True,4,188,7,2554,True,4,188,7
exp_wa2/WS_4_0.66/WS_4_0.66_30.apx,	50,3840,True,5,234,10,3840,True,5,234,10
exp_wa2/WS_4_0.66/WS_4_0.66_88.apx,	50,8424,True,4,190,13,8424,True,4,190,13
exp_wa2/WS_4_0.66/WS_4_0.66_189.apx,	50,1280,True,9,391,6,1280,True,9,391,6
exp_wa2/WS_4_0.66/WS_4_0.66_136.apx,	50,14202,True,4,191,9,14202,True,4,191,9
exp_wa2/WS_4_0.66/WS_4_0.66_77.apx,	50,6528,True,5,227,8,6528,True,5,227,8
exp_wa2/WS_4_0.66/WS_4_0.66_131.apx,	50,1568,True,7,309,5,1568,True,7,309,5
exp_wa2/WS_4_0.66/WS_4_0.66_114.apx,	50,1216,True,6,287,21,1216,True,6,287,21
exp_wa2/WS_4_0.66/WS_4_0.66_149.apx,	50,3360,True,6,268,5,3360,True,6,268,5
exp_wa2/WS_4_0.66/WS_4_0.66_45.apx,	50,12928,True,5,230,7,12928,True,5,230,7
exp_wa2/WS_4_0.66/WS_4_0.66_63.apx,	50,2328,True,7,304,3,2328,True,7,304,3
exp_wa2/WS_4_0.66/WS_4_0.66_12.apx,	50,13440,True,3,152,15,13440,True,3,152,15
exp_wa2/WS_4_0.66/WS_4_0.66_29.apx,	50,1584,True,6,279,16,1584,True,6,279,16
exp_wa2/WS_4_0.66/WS_4_0.66_133.apx,	50,2700,True,5,230,7,2700,True,5,230,7
exp_wa2/WS_4_0.66/WS_4_0.66_42.apx,	50,7200,True,4,189,8,7200,True,4,189,8
exp_wa2/WS_4_0.66/WS_4_0.66_111.apx,	50,30912,True,0,13,13,30912,True,0,13,13
exp_wa2/WS_4_0.66/WS_4_0.66_118.apx,	50,10080,True,2,107,14,10080,True,2,107,14
exp_wa2/WS_4_0.66/WS_4_0.66_57.apx,	50,4158,True,5,227,5,4158,True,5,227,5
exp_wa2/WS_4_0.66/WS_4_0.66_157.apx,	50,11264,True,2,102,9,11264,True,2,102,9
exp_wa2/WS_4_0.66/WS_4_0.66_91.apx,	50,1888,True,7,316,10,1888,True,7,316,10
exp_wa2/WS_4_0.66/WS_4_0.66_129.apx,	50,8160,True,4,186,6,8160,True,4,186,6
exp_wa2/WS_4_0.66/WS_4_0.66_138.apx,	50,6000,True,4,194,13,6000,True,4,194,13
exp_wa2/WS_4_0.66/WS_4_0.66_38.apx,	50,1920,True,5,241,17,1920,True,5,241,17
exp_wa2/WS_4_0.66/WS_4_0.66_59.apx,	50,12516,True,3,142,7,12516,True,3,142,7
exp_wa2/WS_4_0.66/WS_4_0.66_101.apx,	50,8456,True,3,150,13,8456,True,3,150,13
exp_wa2/WS_4_0.66/WS_4_0.66_84.apx,	50,1350,True,5,231,11,1350,True,5,231,11
