frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp1/WS_30_0.33/WS_30_0.33_24.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_38.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_13.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_17.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_39.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_6.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_3.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_37.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_16.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_19.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_15.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_25.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_23.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_18.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_29.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/WS_30_0.33/WS_30_0.33_33.apx,	50,1,True,50,475,0,1,True,50,475,0
exp1/ER_0.5/ER_0.5_2.apx,	51,1,True,51,658,0,1,True,51,658,0
exp1/ER_0.5/ER_0.5_36.apx,	51,1,True,51,642,0,1,True,51,642,0
exp1/ER_0.5/ER_0.5_16.apx,	51,1,True,51,640,0,1,True,51,640,0
exp1/ER_0.5/ER_0.5_8.apx,	51,1,True,44,617,0,1,True,44,617,0
exp1/ER_0.5/ER_0.5_27.apx,	51,1,True,51,657,0,1,True,51,657,0
exp1/ER_0.5/ER_0.5_25.apx,	51,1,True,45,648,0,1,True,45,648,0
exp1/ER_0.5/ER_0.5_18.apx,	51,1,True,51,614,0,1,True,51,614,0
exp1/ER_0.5/ER_0.5_33.apx,	51,1,True,51,635,0,1,True,51,635,0
exp1/ER_0.5/ER_0.5_22.apx,	51,1,True,45,635,0,1,True,45,635,0
exp1/ER_0.5/ER_0.5_10.apx,	51,1,True,51,619,0,1,True,51,619,0
exp1/ER_0.5/ER_0.5_12.apx,	51,1,True,51,642,0,1,True,51,642,0
exp1/ER_0.5/ER_0.5_38.apx,	51,1,True,43,641,0,1,True,43,641,0
exp1/ER_0.5/ER_0.5_13.apx,	51,1,True,51,664,0,1,True,51,664,0
exp1/ER_0.5/ER_0.5_30.apx,	51,1,True,51,626,0,1,True,51,626,0
exp1/ER_0.5/ER_0.5_35.apx,	51,1,True,51,622,0,1,True,51,622,0
exp1/ER_0.5/ER_0.5_31.apx,	51,1,True,51,667,0,1,True,51,667,0
exp1/ER_0.5/ER_0.5_19.apx,	51,1,True,51,624,0,1,True,51,624,0
exp1/ER_0.5/ER_0.5_11.apx,	51,1,True,51,629,0,1,True,51,629,0
exp1/ER_0.5/ER_0.5_14.apx,	51,1,True,51,597,0,1,True,51,597,0
exp1/ER_0.5/ER_0.5_26.apx,	51,1,True,51,665,0,1,True,51,665,0
exp1/ER_0.5/ER_0.5_3.apx,	51,1,True,51,618,0,1,True,51,618,0
