frame,args,prf Extensions,prf Tight,prf Rejected Arguments,prf Implicit Conflicts,prf Implicit Conflicts not Rejected,sem Extensions,sem Tight,sem Rejected Arguments,sem Implicit Conflicts,sem Implicit Conflicts not Rejected
exp2/WS_4_0.66/WS_4_0.66_31.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2/WS_4_0.66/WS_4_0.66_4.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.66/WS_4_0.66_19.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.66/WS_4_0.66_39.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.66/WS_4_0.66_5.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.66/WS_4_0.66_32.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.66/WS_4_0.66_30.apx,	50,1,True,33,989,0,1,True,33,989,0
exp2/WS_4_0.66/WS_4_0.66_12.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2/WS_4_0.66/WS_4_0.66_29.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2/WS_4_0.66/WS_4_0.66_38.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp2/WS_4_0.66/WS_4_0.66_15.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.66/WS_4_0.66_16.apx,	50,2,True,27,887,7,2,True,27,887,7
exp2/WS_4_0.66/WS_4_0.66_27.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.66/WS_4_0.66_20.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.66/WS_4_0.66_13.apx,	50,1,True,45,1115,0,1,True,45,1115,0
exp2/WS_4_0.66/WS_4_0.66_2.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp2/WS_4_0.66/WS_4_0.66_26.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.66/WS_4_0.66_11.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.66/WS_4_0.66_10.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.66/WS_4_0.66_7.apx,	50,2,True,26,879,17,2,True,26,879,17
exp2/WS_4_0.66/WS_4_0.66_9.apx,	50,2,True,22,867,98,1,True,32,972,0
exp2/WS_4_0.66/WS_4_0.66_17.apx,	50,1,True,46,1119,0,1,True,46,1119,0
exp2/WS_4_0.66/WS_4_0.66_8.apx,	50,1,True,41,1089,0,1,True,41,1089,0
exp2/WS_4_0.66/WS_4_0.66_35.apx,	50,1,True,32,972,0,1,True,32,972,0
exp2/WS_4_0.66/WS_4_0.66_37.apx,	50,1,True,40,1080,0,1,True,40,1080,0
exp2/WS_4_0.66/WS_4_0.66_6.apx,	50,1,True,28,894,0,1,True,28,894,0
exp2/WS_4_0.66/WS_4_0.66_14.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2/WS_4_0.66/WS_4_0.66_40.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2/WS_4_0.66/WS_4_0.66_24.apx,	50,2,True,21,783,47,2,True,21,783,47
exp2/WS_4_0.66/WS_4_0.66_21.apx,	50,1,True,35,1020,0,1,True,35,1020,0
exp2/WS_4_0.66/WS_4_0.66_3.apx,	50,1,True,41,1089,0,1,True,41,1089,0
exp2/WS_4_0.66/WS_4_0.66_1.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.66/WS_4_0.66_23.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.66/WS_4_0.66_25.apx,	50,2,True,24,816,8,1,True,28,894,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_14.apx,	50,1,True,31,954,0,1,True,31,954,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_38.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_12.apx,	50,1,True,37,1047,0,1,True,37,1047,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_26.apx,	50,2,True,40,1086,1,2,True,40,1086,1
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_28.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_29.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_16.apx,	50,2,True,30,947,5,2,True,30,947,5
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_37.apx,	50,1,True,34,1005,0,1,True,34,1005,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_36.apx,	50,1,True,36,1034,0,1,True,36,1034,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_21.apx,	50,2,True,29,919,0,2,True,29,919,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_6.apx,	50,1,True,29,915,0,1,True,29,915,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_1.apx,	50,2,True,37,1049,0,2,True,37,1049,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_31.apx,	50,1,True,30,935,0,1,True,30,935,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_20.apx,	50,2,True,31,958,2,1,True,32,972,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_35.apx,	50,1,True,38,1059,0,1,True,38,1059,0
exp2/WS_4_0.33_0.66/WS_4_0.33_0.66_23.apx,	50,1,True,48,1124,0,1,True,48,1124,0
